question_image,category,is_correct,test_type
A group of males are gathered around the height of 176 cm and the weight of 70 kg. + item30.png,Scatter,0.7816091954022989,vlat
A group of the metro systems of the world has approximately 300 stations and around a 200km system length. + item51.png,Scatter,0.6162790697674418,vlat
About how much did the price of a barrel of oil fall from April to September in 2015? + item5.png,Line,0.7840909090909091,vlat
About what is the global smartphone market share of Samsung? + item19.png,Pie,0.6190476190476191,vlat
About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle? + item11.png,Stacked Bar,0.49411764705882355,vlat
About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in the UK? + item41.png,Stacked Area,0.2727272727272727,vlat
"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010? + ggr_item7.png",Line,0.49411764705882355,ggr-mc
Approximately what percentage of people had Adeolitis in the year 2000? + ggr_item5.png,Line,0.8314606741573034,ggr-mc
"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together? + ggr_item4.png",Pie,0.6705882352941176,ggr-mc
"Approximately, what is brand C’s total sales as a proportion of brand B’s total sales from Jan 01 to Mar 15? + T9.png",Stacked Area,0.17647058823529413,calvi
"Approximately, what is store C's total sales as a proportion of store B's total sales in 1995? + N9.png",Stacked Bar,0.27380952380952384,calvi
"Approximately, what is the number of votes for candidate A as a proportion of those for candidate B? + T26.png",Bar,0.4659090909090909,calvi
"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December? + T8.png",Stacked Area,0.23255813953488372,calvi
Are there more households with exactly 1 car than households with exactly 2 cars? + T29.png,Pie,0.05747126436781609,calvi
"Assuming today is Apr 10, 2022, did the total number of cars parked in the three parking lots fall sharply in 2022? + T36.png",Stacked Bar,0.21176470588235294,calvi
"Assuming today is Feb 20, 2022, which of the following is true about the vegetables planted by the three farms? + T35.png",Stacked Bar,0.18072289156626506,calvi
"Assuming today is May 01, 2022, which of the following statements is true? + T37.png",Area,0.04878048780487805,calvi
"Assuming today is May 01, and half of the votes from each state for a favorite ice cream brand have been counted. The color of each state corresponds to the brand that has received the most votes in that state so far. The brand with the most number of colored states will be the most popular brand, and the results will be finalized on May 15. Which of the following is true? + T45.png",Map,0.25301204819277107,calvi
"Assuming today is May 10 and given the chart below, which statement about rainfall (mm) is true for the past 14 days? + T21.png",Bar,0.1411764705882353,calvi
"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected? + ggr_item12.png",Line,0.654320987654321,ggr-mc
"Company A sells a board game. Assuming today is Jun 01, 2022, which of the following statements is true? + T34.png",Line,0.14634146341463414,calvi
"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die? + ggr_item10.png",Bar,0.3411764705882353,ggr-mc
Do U.S. states have a more similar number of sunny days in the summer or in the winter? + T1.png,Map,0.15476190476190477,calvi
Do U.S. states have a more similar number of windy days in the summer or in the winter? + T2.png,Map,0.08139534883720931,calvi
Do all of these planets have the same life expectancy? + bg-12.svg,Bar,0.9655172413793104,brbf
Do all of these planets have the same life expectancy? + bg-5.svg,Bar,0.963855421686747,brbf
Does any members of species C weigh more than 5 lbs? + T40.png,Scatter,0.023255813953488372,calvi
Does cell phone brand A have more than half of the total market share? + T28.png,Pie,0.012048192771084338,calvi
Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-3.svg,Scatter,0.6904761904761905,brbf
Does expenditure per primary student seem to have a positive impact on adult literacy on planet Maarin? + sp-6.svg,Scatter,0.7625,brbf
"Even though there has been some variation, has the unemployment trend generally increased on all of these planets since the beginning of this time period? + lg1-9.svg",Line,0.8023255813953488,brbf
"Even though there has been some variation, has the unemployment trend generally increased on planet Alyosius since the beginning of this time period? + lg1-3.svg",Line,0.8470588235294118,brbf
"Even though there has been some variation, where has the unemployment trend generally increased the most since the beginning of this time period? + lg1-7.svg",Line,0.5882352941176471,brbf
For which website was the number of unique visitors the largest in 2010? + item59.png,Treemap,0.9318181818181818,vlat
How many countries in Asia is the average internet speed slower than Thailand? + item9.png,Bar,0.449438202247191,vlat
How many months have less than 40mm of rain? + bar.png,Bar,0.43529411764705883,wainer
How many months have less than 40mm of rain? + line.png,Line,0.22727272727272727,wainer
How many months have less than 40mm of rain? + radial.png,Radial,0.7738095238095238,wainer
How many months have more rain than the average month? + bar.png,Bar,0.8588235294117647,wainer
How many months have more rain than the average month? + line.png,Line,0.7391304347826086,wainer
How many months have more rain than the average month? + radial.png,Radial,0.7294117647058823,wainer
How many more men than women are there among 100 patients with disease X? + ggr_item9.png,Dot Plot,0.5977011494252874,ggr-mc
How many people have rated the taxi between 4.0 and 4.2? + item22.png,Histogram,0.7906976744186046,vlat
How many planets spend approximately the same amount on primary students as planet Wobb but have a higher percentage of literate adults? + sp-1.svg,Scatter,0.47560975609756095,brbf
How much does it rain in March? + bar.png,Bar,0.9294117647058824,wainer
How much does it rain in March? + line.png,Line,0.7976190476190477,wainer
How much does it rain in March? + radial.png,Radial,0.9294117647058824,wainer
"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI). + item57.png",Map,0.9090909090909091,vlat
"In San Francisco, as the weather gets warmer, there is generally more rain. + bar.png",Bar,0.8160919540229885,wainer
"In San Francisco, as the weather gets warmer, there is generally more rain. + line.png",Line,0.7831325301204819,wainer
"In San Francisco, as the weather gets warmer, there is generally more rain. + radial.png",Radial,0.8072289156626506,wainer
"In city Z, what is the approximate average number of new buildings built from 1950 to 1952? + T50.png",Scatter,0.25882352941176473,calvi
"In general, the ridership of the metro system increases as the number of stations increases. + item52.png",Scatter,0.32941176470588235,vlat
"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013. + item44.png",Stacked Area,0.25,vlat
"In town X, what is the approximate average number of customers at mall A from Jan to Mar? + T49.png",Bar,0.20481927710843373,calvi
In which city is the cost of soda the highest? + item12.png,Stacked Bar,0.5348837209302325,vlat
In which company is the global smartphone market share the smallest? + item20.png,Pie,0.9882352941176471,vlat
In which country is the average internet speed the fastest in Asia? + item7.png,Bar,0.9761904761904762,vlat
In which month was the price of a barrel of oil the lowest in 2015? + item2.png,Line,0.9634146341463414,vlat
In which season does each month have less rain than the month before? + bar.png,Bar,0.5813953488372093,wainer
In which season does each month have less rain than the month before? + line.png,Line,0.34523809523809523,wainer
In which season does each month have less rain than the month before? + radial.png,Radial,0.38372093023255816,wainer
In which state was the unemployment rate the highest in 2015? + item56.png,Map,0.9058823529411765,vlat
Is the total number of beers consumed by person Z in the first half of 2005 higher than that in the second half? + N8.png,Area,0.8488372093023255,calvi
Is the total number of shirts sold by company Z in the first half of 2021 higher than that in the second half? + T23.png,Area,0.40229885057471265,calvi
Is there a positive relationship between SAT score and annual family income for students in city Z? + N10.png,Scatter,0.8850574712643678,calvi
More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4. + item25.png,Histogram,0.8023255813953488,vlat
"Of 100 patients with disease X, how many are women? + ggr_item8.png",Dot Plot,0.896551724137931,ggr-mc
"Of all the people who die from cancer, approximately what percentage dies from lung cancer? + ggr_item3.png",Pie,0.8255813953488372,ggr-mc
"On May 06 in city Z, what is the number of visitors at train station B as a proportion of that at train station C? + T5.png",Stacked Bar,0.1590909090909091,calvi
On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-4.svg,Scatter,0.6190476190476191,brbf
On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-10.svg,Scatter,0.8690476190476191,brbf
On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-2.svg,Scatter,0.7325581395348837,brbf
"Over the course of 2013, the average price of a pound of coffee beans was ____________. + item38.png",Area,0.9186046511627907,vlat
"Over the course of the second half of 2015, the price of a barrel of oil was ____________. + item4.png",Line,0.9418604651162791,vlat
"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'. + item45.png",Stacked Area,0.2,vlat
"Over the course of years between 2009 and 2014, when was the number of girls named 'Amelia' at the maximum? + item42.png",Stacked Area,0.9759036144578314,vlat
Samsung is nested in the Financial category. + item61.png,Treemap,0.8795180722891566,vlat
The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study. + item18.png,100% Stacked Bar,0.49411764705882355,vlat
The cost of vodka in Atlanta is higher than that of Honolulu. + item14.png,Stacked Bar,0.6705882352941176,vlat
The global smartphone market share of Apple is larger than that of Huawei. + item21.png,Pie,0.9411764705882353,vlat
The metro system in Shanghai has more ridership than the metro system in Beijing. + item53.png,Scatter,0.7023809523809523,vlat
The number of girls named 'Isla' was __________ from 2009 to 2012. + item43.png,Stacked Area,0.9634146341463414,vlat
The number of unique visitors for Amazon was more than that of Yahoo in 2010. + item60.png,Treemap,0.6024096385542169,vlat
The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C. + item15.png,Stacked Bar,0.7674418604651163,vlat
"The residents of town Y are voting on a favorite hiking trail, and half of the votes have been counted. The poll closes on Sep 01, 2022. Which of the following is true? + T48.png",Bar,0.5119047619047619,calvi
The weights for males with the height of 188 cm are all the same. + item32.png,Scatter,0.7931034482758621,vlat
There is a negative linear relationship between the height and the weight of the 85 males. + item31.png,Scatter,0.7011494252873564,vlat
True or False: GDP per capita for country Z grew faster from 2000 to 2003 than from 2005 to 2008. + T27.png,Line,0.21839080459770116,calvi
"True or False: If the temperature gets higher than 100°F, then the bottles of water sold must be greater than 750. + T46.png",Scatter,0.2261904761904762,calvi
True or False: Monthly sales for store B is increasing from Jan to Dec. + T52.png,Line,0.7407407407407407,calvi
True or False: More than half of the people in county Z prefer reading at night. + T47.png,Pie,0.926829268292683,calvi
True or False: Predatory species Z is more prevalent in NC than in AZ. + T10.png,Map,0.7764705882352941,calvi
True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980. + T12.png,Bar,0.7272727272727273,calvi
True or False: The number of visitors at airport X is decreasing from 2000 to 2005. + T22.png,Line,0.7752808988764045,calvi
True or False: WY has a higher risk of bacteria Z infection than ND. + T11.png,Map,0.8674698795180723,calvi
"True or False: Within each town, is there a negative relationship between average daily working hours and happiness score? + T38.png",Scatter,0.3333333333333333,calvi
Was the average amount of precipitation over 15 years in region D higher than that in region C? + T30.png,Map,0.03409090909090909,calvi
What has the average unemployment rate been on planet Voreg since the beginning of this time period? + lg1-2.svg,Line,0.5925925925925926,brbf
What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-8.svg,Line,0.5340909090909091,brbf
What is the approval rating of Republicans among the people who have the education level of Postgraduate Study? + item16.png,100% Stacked Bar,0.5393258426966292,vlat
What is the approximate average adult literacy in this group of planets? + sp-12.svg,Scatter,0.5238095238095238,brbf
What is the approximate average life expectancy on this group of planets? + bg-1.svg,Bar,0.4222222222222222,brbf
What is the approximate average life expectancy on this group of planets? + bg-4.svg,Bar,0.40963855421686746,brbf
What is the average adult literacy on the 5 planets that spend the most on primary students? + sp-7.svg,Scatter,0.4024390243902439,brbf
What is the average internet speed in Japan? + item6.png,Bar,0.8313253012048193,vlat
What is the cost of peanuts in Las Vegas? + item10.png,Stacked Bar,0.27710843373493976,vlat
What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy? + ggr_item2.png,Bar,0.8433734939759037,ggr-mc
What is the education level of people in which the Democrats have the lowest approval rating? + item17.png,100% Stacked Bar,0.8333333333333334,vlat
What is the height for a person who lies outside the others the most? + item29.png,Scatter,0.5119047619047619,vlat
What is the height for the tallest person among the 85 males? + item27.png,Scatter,0.65,vlat
What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11? + T3.png,Bar,0.23170731707317074,calvi
What is the number of visitors at theater A as a proportion of that at theater B in 2001? + N1.png,Bar,0.9176470588235294,calvi
What is the percentage of cancer patients who die after chemotherapy? + ggr_item13.png,Bar,0.18604651162790697,ggr-mc
What is the price of water bottle from store A as a proportion of that from store B? + T4.png,Bar,0.37209302325581395,calvi
What is the range in weight for the 85 males? + item28.png,Scatter,0.08333333333333333,vlat
What is the range of the average internet speed in Asia? + item8.png,Bar,0.575,vlat
What is the range of the total length of the metro systems? + item49.png,Scatter,0.25,vlat
What is the rating that the people have rated the taxi the most? + item23.png,Histogram,0.9080459770114943,vlat
What is the total length of the metro system in Beijing? + item47.png,Scatter,0.35294117647058826,vlat
What is the trend for the percentage of bacteria Z from 1970 to 2020? + T6.png,Line,0.21176470588235294,calvi
What is the trend of sales in gift shop A from Jan to Dec? + T43.png,Line,0.6463414634146342,calvi
What is the trend of the average price of books from 1960 to 2020 in city Z? + T44.png,Line,0.5172413793103449,calvi
What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases? + T17.png,Scatter,0.19767441860465115,calvi
What is the trend of the monthly number of new restaurant openings in county Y in 2000? + N7.png,Line,0.9642857142857143,calvi
What is the trend of the number of bookstores in city Z from 2000 to 2020? + T13.png,Bar,0.7804878048780488,calvi
What is the trend of the survival rate as weight increases for species Z? + T19.png,Scatter,0.2441860465116279,calvi
What is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14? + T16.png,Area,0.23809523809523808,calvi
What is the trend of the total sales for item X from Apr to Aug? + T15.png,Line,0.12195121951219512,calvi
What is the weight for the person who is 165.1 cm tall? + item26.png,Scatter,0.8705882352941177,vlat
What percentage of patients recovered after chemotherapy? + ggr_item1.png,Bar,0.9431818181818182,ggr-mc
What was the average price of a pound of coffee beans in September 2013? + item35.png,Area,0.6785714285714286,vlat
What was the number of girls named 'Amelia' in 2010 in the UK? + item40.png,Stacked Area,0.14457831325301204,vlat
What was the price of a barrel of oil in February 2015? + item1.png,Line,0.9069767441860465,vlat
What was the price range of a barrel of oil in 2015? + item3.png,Line,0.5421686746987951,vlat
What was the range of the average price of a pound of coffee beans between January 2013 and December 2014? + item37.png,Area,0.36904761904761907,vlat
What was the unemployment rate for Indiana (IN) in 2015? + item55.png,Map,0.07228915662650602,vlat
When did the highest increase in the unemployment trend occur on planet Nurag since the beginning of this time period? + lg1-5.svg,Line,0.25882352941176473,brbf
When did unemployment first go above 6.9 on planet Mandel? + lg1-6.svg,Line,0.2,brbf
When was the average price of a pound of coffee beans at minimum? + item36.png,Area,0.5542168674698795,vlat
When was the increase in the percentage of people with Adeolitis higher? + ggr_item6.png,Line,0.5813953488372093,ggr-mc
When was unemployment at its highest peak on planet Karna? + lg1-10.svg,Line,0.38095238095238093,brbf
When was unemployment at its lowest peak on planet Kreno? + lg1-12.svg,Line,0.4146341463414634,brbf
Where did unemployment first go above 6.8? + lg1-11.svg,Line,0.8705882352941177,brbf
Where did unemployment reach its highest peak since the beginning of this time period? + lg1-1.svg,Line,0.8588235294117647,brbf
Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-4.svg,Line,0.735632183908046,brbf
Where is life expectancy roughly 61? + bg-9.svg,Bar,0.898876404494382,brbf
Where is life expectancy roughly 66? + bg-11.svg,Bar,0.8170731707317073,brbf
Which city's metro system does lie outside the relationship between the total system length and the number of stations most? + item50.png,Scatter,0.6363636363636364,vlat
Which city's metro system has the largest number of stations? + item48.png,Scatter,0.5301204819277109,vlat
"Which group of 2 planets (either green, red, or orange) has the biggest difference in life expectancy? + bg-10.svg",Bar,0.7901234567901234,brbf
"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-2.svg",Bar,0.6,brbf
Which month has 25 mm of rain? + bar.png,Bar,0.9506172839506173,wainer
Which month has 25 mm of rain? + line.png,Line,0.7108433734939759,wainer
Which month has 25 mm of rain? + radial.png,Radial,0.9058823529411765,wainer
Which of the following about the monthly number of new clients is true? + N6.png,Line,0.6436781609195402,calvi
Which of the following is true about Restaurant R? + N15.png,Map,0.5977011494252874,calvi
Which of the following is true about company Z? + T18.png,Scatter,0.36046511627906974,calvi
"Which of the following is true about the advertising expense breakdown of company Z in countries A, B, and C? + N4.png",Stacked Bar,0.3176470588235294,calvi
Which of the following is true about the annual number of new movies released in city X? + T14.png,Line,0.27058823529411763,calvi
Which of the following is true about the education level of residents in city Z? + N13.png,Pie,0.4578313253012048,calvi
Which of the following is true about the four brands of perfume in city Z? + N5.png,100% Stacked Bar,0.36046511627906974,calvi
Which of the following is true about the market share of grocery stores in town Z? + N12.png,Pie,0.8795180722891566,calvi
Which of the following is true about the prevalence of the plant species Y? + T20.png,Map,0.45121951219512196,calvi
Which of the following is true about the residents in towns X and Y? + N11.png,Scatter,0.6666666666666666,calvi
Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005? + T25.png,100% Stacked Bar,0.6511627906976745,calvi
Which of the following statements is true about the customers at the three bike shops in city Z? + N3.png,Stacked Bar,0.45348837209302323,calvi
Which of the following states has the highest number of Lego owners? + N14.png,Map,0.7976190476190477,calvi
Which of the treatments contributes to a larger decrease in the percentage of sick patients? + ggr_item11.png,Line,0.12941176470588237,ggr-mc
Which planet has the highest life expectancy? + bg-3.svg,Bar,0.9761904761904762,brbf
Which planet has the highest life expectancy? + bg-7.svg,Bar,0.8941176470588236,brbf
Which planet has the lowest adult literacy? + sp-9.svg,Scatter,0.9186046511627907,brbf
Which planet has the lowest life expectancy? + bg-6.svg,Bar,0.9047619047619048,brbf
Which planet has the lowest life expectancy? + bg-8.svg,Bar,0.9534883720930233,brbf
Which planet spends approximately 22% of its GDP on primary students? + sp-8.svg,Scatter,0.6705882352941176,brbf
"Which planet spends less than 8.0% of its GDP on primary students, yet has a highly literate adult population? + sp-11.svg",Scatter,0.7126436781609196,brbf
Which planet spends the most on its primary students? + sp-5.svg,Scatter,0.5568181818181818,brbf
"Which region had the highest number of confirmed cases per 1,000 people? + T42.png",Map,0.17391304347826086,calvi
"Which season has more rain, the summer or the spring? + bar.png",Bar,0.9438202247191011,wainer
"Which season has more rain, the summer or the spring? + line.png",Line,0.8928571428571429,wainer
"Which season has more rain, the summer or the spring? + radial.png",Radial,0.9418604651162791,wainer
Which season has the most rain? + bar.png,Bar,0.9642857142857143,wainer
Which season has the most rain? + line.png,Line,0.8375,wainer
Which season has the most rain? + radial.png,Radial,0.8658536585365854,wainer
Which statement about the daily number of traffic accidents from Jan 01 to Jan 15 in state Z is true? + N2.png,Bar,0.8452380952380952,calvi
"Within each city, is there a positive relationship between salary and average daily working hours? + T39.png",Scatter,0.20689655172413793,calvi
